Original-name,Fixed-name,office sought,General win/lost,Lost in primary,Party,City,Current elected official,Year,Do they have a pac
"Dockery, Rueben","Dockery, Rueben",House of Representatives 53,TBD,TBD,Independent,Nashville,No,2024,
"Dotson, Brenda","Dotson, Brenda",House of Representatives 35,TBD,TBD,Democrat,Gallatin,No,2024,
"Drake, Rose Mary","Drake, Rose Mary",House of Representatives 39,TBD,TBD,Democrat,Sewanee,No,2024,
"Dressel, Nathan","Dressel, Nathan",House of Representatives 10,TBD,TBD,Republican,Talbott,No,2024,
"Dubois, Sue","Dubois, Sue",House of Representatives 08,TBD,TBD,Democrat,Walland,No,2024,
"Duffin, Carol","Duffin, Carol",House of Representatives 68,TBD,TBD,Republican,Clarksville,No,2024,
"Dunn, Eric","Dunn, Eric",House of Representatives 96,TBD,TBD,Democrat,Memphis,No,2024,
"Eastham, Sean","Eastham, Sean",House of Representatives 16,TBD,TBD,Independent,Did not say,No,2024,
"Ellison, Robin","Ellison, Robin",Senate District 08,TBD,TBD,Democrat,Seymour,No,2024,
"Emert, Jason","Emert, Jason",House of Representatives 20,TBD,TBD,Republican,Maryville,No,2024,
"Estes, Christin","Estes, Christin",Governor,TBD,TBD,Republican,Nashville,No,2024,
"Ferry, Matt H.","Ferry, Matt H.",House of Representatives 48,TBD,TBD,Democrat,Milton,No,2024,
"Foreman, Michelle","Foreman, Michelle",House of Representatives 65,TBD,TBD,Republican,Nashville,No,2024,
"Forster-Benson, Nick","Forster-Benson, Nick",House of Representatives 56,TBD,TBD,Democrat,Nashville,No,2024,
"Franklin, Telisa","Franklin, Telisa",House of Representatives 96,TBD,TBD,Democrat,Memphis,No,2024,
"Frensley Webb, Jennifer","Frensley Webb, Jennifer",House of Representatives 50,TBD,TBD,Republican,Goodlettsville,No,2024,
"Gentry, John Anthony","Gentry, John Anthony",Senate District 18,TBD,TBD,Independent,Goodlettsville,No,2024,
"George, Ronny","George, Ronny",House of Representatives 69,TBD,TBD,Republican,Bon Aqua,No,2024,
"Gertz, Karen","Gertz, Karen",House of Representatives 20,TBD,TBD,Democrat,Maryville,No,2024,
"Gilman, Greg","Gilman, Greg",House of Representatives 68,TBD,TBD,Republican,Clarksville,No,2024,
"Godwin, Shelia L.","Godwin, Shelia L.",House of Representatives 80,TBD,TBD,Democrat,Jackson,No,2024,
"Goldberg, Bryan","Goldberg, Bryan",House of Representatives 18,TBD,TBD,Democrat,Knoxville,No,2024,
"Gorman, Allison","Gorman, Allison",House of Representatives 26,TBD,TBD,Democrat,Chattanooga,No,2024,
"Grabowski, Anna","Grabowski, Anna",House of Representatives 22,TBD,TBD,Democrat,Ten Mile,No,2024,
"Grantham, Brad","Grantham, Brad",House of Representatives 80,TBD,TBD,Republican,Bolivar,No,2024,
"Gross, Justin","Gross, Justin",House of Representatives 11,TBD,TBD,Democrat,Newport,No,2024,
"Hale, Cecil","Hale, Cecil",House of Representatives 98,TBD,TBD,Republican,Cordova,No,2024,
"Hammond, Cary","Hammond, Cary",House of Representatives 89,TBD,TBD,Democrat,Knoxville,No,2024,
"Harris, Jimmy","Harris, Jimmy",House of Representatives 73,TBD,TBD,Republican,Jackson,No,2024,
"Harshbarger, Robert","Harshbarger, Robert",Senate District 04,TBD,TBD,Republican,Kingsport,No,2024,
"Hart, James","Hart, James",House of Representatives 76,TBD,TBD,Independent,Buchanan,No,2024,
"Hatcher, Tom","Hatcher, Tom",Senate District 02,TBD,TBD,Republican,Maryville,No,2024,
"Hawn, Derek","Hawn, Derek",House of Representatives 41,TBD,TBD,Democrat,Wartburg,No,2024,
"Hawthorne, Daniel T.","Hawthorne, Daniel T.",House of Representatives 40,TBD,TBD,Democrat,Dixon Springs,No,2024,
"Hedrick, Teena","Hedrick, Teena",Senate District 12,TBD,TBD,Republican,Kingston,No,2024,
"Hirst, Justin","Hirst, Justin",House of Representatives 15,TBD,TBD,Republican,Did not say,No,2024,
"Howard, Luka","Howard, Luka",House of Representatives 49,TBD,TBD,Democrat,Smyrna,No,2024,
"Huff, Christopher","Huff, Christopher",House of Representatives 60,TBD,TBD,Republican,Old Hickory,No,2024,
"Hunter, Larry","Hunter, Larry",House of Representatives 88,TBD,TBD,Republican,Memphis,No,2024,
"Hurder, Stan","Hurder, Stan",House of Representatives 22,TBD,TBD,Democrat,Cleveland,No,2024,
"Huseth, Jesse","Huseth, Jesse",House of Representatives 97,TBD,TBD,Democrat,Memphis,No,2024,
"Hutson, Ii, Charles","Hutson, Ii, Charles",Senate District 12,TBD,TBD,Independent,Sunbright,No,2024,
"Irvine, Monica","Irvine, Monica",Senate District 06,TBD,TBD,Republican,Knoxville,No,2024,
"Jenkins, William (Jay)","Jenkins, William (Jay)",House of Representatives 31,TBD,TBD,Independent,Did not say,No,2024,
"Jester, Tim","Jester, Tim",House of Representatives 60,TBD,TBD,Democrat,Old Hickory,No,2024,
"Jeter, Ray","Jeter, Ray",House of Representatives 64,TBD,TBD,Republican,Lewisburg,No,2024,
"Johnston, Jeff","Johnston, Jeff",House of Representatives 86,TBD,TBD,Independent,Memphis,No,2024,
"Jones, Claire","Jones, Claire",House of Representatives 61,TBD,TBD,Democrat,Nashville,No,2024,
"Jones, Renea","Jones, Renea",House of Representatives 04,TBD,TBD,Republican,Unicoi,No,2024,
"Joy, Jonathan","Joy, Jonathan",House of Representatives 80,TBD,TBD,Democrat,Did not say,No,2024,
"Kelly, Curtis","Kelly, Curtis",Senate District 12,TBD,TBD,Democrat,Clarkrange,No,2024,
"Ketelsen, Jeff","Ketelsen, Jeff",House of Representatives 51,TBD,TBD,Independent,Nashville,No,2024,
"Kosack, Kurt","Kosack, Kurt",House of Representatives 61,TBD,TBD,Democrat,Brentwood,No,2024,
"Leblanc, Alana","Leblanc, Alana",House of Representatives 61,TBD,TBD,Independent,Brentwood,No,2024,
"Lecompte, Edward","Lecompte, Edward",Senate District 10,TBD,TBD,Republican,Red Bank,No,2024,
"Lennon, Kathy","Lennon, Kathy",House of Representatives 27,TBD,TBD,Democrat,Signal Mountain,No,2024,
"Lewis, Tim","Lewis, Tim",House of Representatives 43,TBD,TBD,Republican,Did not say,No,2024,
"Linton, Lawrence","Linton, Lawrence",House of Representatives 12,TBD,TBD,Republican,Sevierville,No,2024,
"Longstreet, Eileen H.","Longstreet, Eileen H.",House of Representatives 64,TBD,TBD,Democrat,Spring Hill,No,2024,
"Love, Lori","Love, Lori",House of Representatives 03,TBD,TBD,Democrat,Kingsport,No,2024,
"Lundy, Dasha","Lundy, Dasha",House of Representatives 15,TBD,TBD,Democrat,Knoxville,No,2024,
"Luttrell, Jason","Luttrell, Jason",House of Representatives 70,TBD,TBD,Democrat,Flintville,No,2024,
"Maberry, Aron","Maberry, Aron",House of Representatives 68,TBD,TBD,Republican,Clarksville,No,2024,
"Mai, Teri","Mai, Teri",House of Representatives 92,TBD,TBD,Democrat,Dickinson,No,2024,
"Marcum, Tucker","Marcum, Tucker",House of Representatives 34,TBD,TBD,Republican,Eagleville,No,2024,
"Mata, Luis","Mata, Luis",House of Representatives 49,TBD,TBD,Democrat,Smyrna,No,2024,
"Mcclendon, Heather","Mcclendon, Heather",House of Representatives 30,TBD,TBD,Democrat,Rock Spring,No,2024,
"Mccormick, Robert","Mccormick, Robert",House of Representatives 43,TBD,TBD,Republican,Sparta,No,2024,
"Mead, Kevin","Mead, Kevin",House of Representatives 66,TBD,TBD,Independent,Springfield,No,2024,
"Melton, Lexi","Melton, Lexi",House of Representatives 35,TBD,TBD,Democrat,Hartsville,No,2024,
"Mikels, Steve","Mikels, Steve",House of Representatives 08,TBD,TBD,Republican,Rockford,No,2024,
"Moore, Kenneth R.","Moore, Kenneth R.",House of Representatives 21,TBD,TBD,Democrat,Loudon,No,2024,
"Morrison, Mitchell","Morrison, Mitchell",Senate District 30,TBD,TBD,Independent,Memphis,No,2024,
"Mouzon, William P.","Mouzon, William P.",House of Representatives 99,TBD,TBD,Independent,Arlington,No,2024,
"Nelson, Laura","Nelson, Laura",House of Representatives 52,TBD,TBD,Republican,Nashville,No,2024,
"Nepal, Yog","Nepal, Yog",House of Representatives 53,TBD,TBD,Republican,Nashville,No,2024,
"Nordstrom, Noah","Nordstrom, Noah",House of Representatives 83,TBD,TBD,Democrat,Memphis,No,2024,
"Oppenhuizen, Christina","Oppenhuizen, Christina",House of Representatives 97,TBD,TBD,Republican,Memphis,No,2024,
"Owens, Veronica","Owens, Veronica",House of Representatives 47,TBD,TBD,Independent,Did not say,No,2024,
"Page, David","Page, David",House of Representatives 86,TBD,TBD,Democrat,Memphis,No,2024,
"Pant, Amelia","Pant, Amelia",House of Representatives 34,TBD,TBD,Democrat,Murfreesboro,No,2024,
"Parker, Richard D.","Parker, Richard D.",House of Representatives 09,TBD,TBD,Republican,Harrogate,No,2024,
"Parrish, John W.","Parrish, John W.",House of Representatives 60,TBD,TBD,Democrat,Joelton,No,2024,
"Pearson, Erika Stotts","Pearson, Erika Stotts",Senate District 30,TBD,TBD,Democrat,Memphis,No,2024,
"Peltz, Jamie Dean","Peltz, Jamie Dean",House of Representatives 67,TBD,TBD,Republican,Clarksville,No,2024,
"Phillips, Allie","Phillips, Allie",House of Representatives 75,TBD,TBD,Democrat,Clarksville,No,2024,
"Pickle, Mac","Pickle, Mac",House of Representatives 08,TBD,TBD,Democrat,Louisville,No,2024,
"Pierce, Alex","Pierce, Alex",House of Representatives 64,TBD,TBD,Democrat,Columbia,No,2024,
"Price, Dalia M.","Price, Dalia M.",Senate District 04,TBD,TBD,Independent,Kingsport,No,2024,
"Pullias, John G.","Pullias, John G.",Senate District 02,TBD,TBD,Republican,Maryville,No,2024,
"Rampy, Wyatt","Rampy, Wyatt",Senate District 20,TBD,TBD,Republican,Nashville,No,2024,
"Reddy, Manasa","Reddy, Manasa",House of Representatives 01,TBD,TBD,Independent,Did not say,No,2024,
"Reddy, Manasa","Reddy, Manasa",Governor,TBD,TBD,Democrat,Nashville,No,2024,
"Reeves, Lee","Reeves, Lee",House of Representatives 65,TBD,TBD,Republican,Franklin,No,2024,
"Reneau, Michele","Reneau, Michele",House of Representatives 27,TBD,TBD,Republican,Signal Mountain,No,2024,
"Reynolds, Karen","Reynolds, Karen",Senate District 22,TBD,TBD,Democrat,Clarksville,No,2024,
"Rhoten, Kevin","Rhoten, Kevin",House of Representatives 60,TBD,TBD,Democrat,Hermitage,No,2024,
"Richey (House), Bryan Andrew","Richey (House), Bryan Andrew",House of Representatives 20,TBD,TBD,Republican,Alcoa,No,2024,
"Richey, Bryan","Richey, Bryan",Senate District 02,TBD,TBD,Republican,Alcoa,No,2024,
"Robertson, Brian","Robertson, Brian",House of Representatives 44,TBD,TBD,Democrat,Hendersonville,No,2024,
"Rudd, Lashanta","Rudd, Lashanta",House of Representatives 93,TBD,TBD,Democrat,Memphis,No,2024,
"Saine, Terry S.","Saine, Terry S.",House of Representatives 94,TBD,TBD,Democrat,Moscow,No,2024,
"Salinas, Gabby","Salinas, Gabby",House of Representatives 96,TBD,TBD,Democrat,Memphis,No,2024,
"Scarbrough, Rick","Scarbrough, Rick",House of Representatives 33,TBD,TBD,Republican,Clinton,No,2024,
"Scofield, Ryan","Scofield, Ryan",House of Representatives 29,TBD,TBD,Democrat,Chattanooga,No,2024,
"Scott, Garfield","Scott, Garfield",House of Representatives 68,TBD,TBD,Democrat,Woodlawn,No,2024,
"Seal, Jessie","Seal, Jessie",Senate District 08,TBD,TBD,Republican,Tazewell,No,2024,
"Singh, Seema","Singh, Seema",House of Representatives 90,TBD,TBD,Democrat,Knoxville,No,2024,
"Smith, E. R.","Smith, E. R.",Senate District 14,TBD,TBD,Democrat,Murfreesboro,No,2024,
"Smith, Joe","Smith, Joe",House of Representatives 68,TBD,TBD,Republican,Clarksville,No,2024,
"Smith, Richard W.","Smith, Richard W.",House of Representatives 31,TBD,TBD,Republican,Dunlap,No,2024,
"Spencer, Chris","Spencer, Chris",Senate District 18,TBD,TBD,Republican,Hendersonville,No,2024,
"Spurlock, Justin","Spurlock, Justin",House of Representatives 78,TBD,TBD,Republican,Burns,No,2024,
"Steele, Russell Wayne","Steele, Russell Wayne",Senate District 16,TBD,TBD,Democrat,Fayetteville,No,2024,
"Stinnett, Tommy L.","Stinnett, Tommy L.",House of Representatives 20,TBD,TBD,Republican,Maryville,No,2024,
"Taylor, Amber (Bennie)","Taylor, Amber (Bennie)",House of Representatives 42,TBD,TBD,Democrat,Cookeville,No,2024,
"Test, Test","Test, Test",House of Representatives 62,TBD,TBD,Independent,Test,No,2024,
"Thomforde, David","Thomforde, David",House of Representatives 23,TBD,TBD,Democrat,Athens,No,2024,
"Warfel, Brittany Lynn","Warfel, Brittany Lynn",House of Representatives 31,TBD,TBD,Democrat,Spencer,No,2024,
"Weathers, Troy","Weathers, Troy",House of Representatives 24,TBD,TBD,Republican,Cleveland,No,2024,
"Webb, Elizabeth","Webb, Elizabeth",House of Representatives 66,TBD,TBD,Democrat,Greenbrier,No,2024,
"Williams, Jacaranda R.","Williams, Jacaranda R.",Senate District 32,TBD,TBD,Republican,Ripley,No,2024,
"Williams, Larhonda","Williams, Larhonda",House of Representatives 65,TBD,TBD,Democrat,Lebanon,No,2024,
"Williams, Orrden","Williams, Orrden",House of Representatives 96,TBD,TBD,Democrat,Memphis,No,2024,
"Williams, Vernell","Williams, Vernell",House of Representatives 84,TBD,TBD,Democrat,Did not say,No,2024,
"Winston, David","Winston, David",House of Representatives 96,TBD,TBD,Democrat,Cordova,No,2024,
"Yancey, Jonathan","Yancey, Jonathan",House of Representatives 13,TBD,TBD,Democrat,Murfreesboro,No,2024,
"Young, Patti","Young, Patti",Senate District 02,TBD,TBD,Democrat,Walland,No,2024,
"Behn, Aftyn","Behn, Aftyn",House of Representatives 51,Won,Won,Democrat,Nashville,Yes,2023,
"Hill, Timothy","Hill, Timothy",House of Representatives 3,Won,Won,Republican,Piney Flats,Yes,2023,
"Jones (2023), Justin","Jones, Justin",House of Representatives 52,Won,Won,Democrat,Antioch,Yes,2023,
"Pearson (2023 June Primary/August Gen), Justin J.","Pearson, Justin",House of Representatives 86,Won,Won,Democrat,Memphis,Yes,2023,
"Pearson, Justin J.","Pearson, Justin",House of Representatives District 86,Won,Won,Democrat,Memphis,Yes,2023,
"Blount, Rod","Blount, Rod",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2023,
"Bolton, Julian T.","Bolton, Julian T.",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2023,
"Cooper, Tanya L.","Cooper, Tanya L.",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2023,
"Davis, Anthony","Davis, Anthony",House of Representatives 51,Lost,Lost,Democrat,Nashville,No,2023,
"Eskridge, Juliette","Eskridge, Juliette",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2023,
"Frost, Dominique","Frost, Dominique",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2023,
"Hooven, David C.","Hooven, David C.",House of Representatives 51,Lost,Won,Republican,Nashville,No,2023,
"Johnston, Jeff","Johnston, Jeff",House of Representatives 86,Lost,Won,Independent,Memphis,No,2023,
"Lee, Annabelle","Lee, Annabelle",House of Representatives 51,Lost,Won,Independent,Madison,No,2023,
"Lewis, Clifford","Lewis, Clifford",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2023,
"Love, Lori","Love, Lori",House of Representatives 3,Lost,Won,Democrat,Kingsport,No,2023,
"Nelson, Laura","Nelson, Laura",House of Representatives 52,Lost,Won,Republican,Nashville,No,2023,
"Page, David","Page, David",House of Representatives 86,Lost,Lost,Democrat,Memphis,No,2023,
"Richardson, Will","Richardson, Will",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2023,
"Robinson, Rebecca","Robinson, Rebecca",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2023,
"Stanley, Angie","Stanley, Angie",House of Representatives 3,Lost,Lost,Republican,Kingsport,No,2023,
"Vaughan, Stacy","Vaughan, Stacy",House of Representatives 3,Lost,Lost,Republican,Johnson City,No,2023,
"Withers, Andrew (Rome)","Withers, Andrew (Rome)",House of Representatives District 86,Lost,Lost,Democrat,Memphis,No,2023,
"Akbari, Raumesh","Akbari, Raumesh",Senate District 29,Won,Won,Democrat,Memphis,Yes,2022,
"Alexander, Rebecca","Alexander, Rebecca",House of Representatives District 7,Won,Won,Republican,Jonesborough,Yes,2022,
"Bailey, Paul","Bailey, Paul",Senate District 15,Won,Won,Republican,Cookeville,Yes,2022,
"Barrett, Joseph M.","Barrett, Joseph",House of Representatives District 69,Won,Won,Republican,Dickson,Yes,2022,
"Baum, Charlie","Baum, Charlie",House of Representatives District 37,Won,Won,Republican,Murfreesboro,Yes,2022,
"Boyd, Clark","Boyd, Clark",House of Representatives District 46,Won,Won,Republican,Lebanon,Yes,2022,
"Bricken, Rush","Bricken, Rush",House of Representatives District 47,Won,Won,Republican,Tullahoma,Yes,2022,
"Briggs, Richard","Briggs, Richard",Senate District 7,Won,Won,Republican,Knoxville,Yes,2022,
"Bulso, Jr., Eugene N. (Gino)","Bulso, Gino",House of Representatives District 61,Won,Won,Republican,Brentwood,Yes,2022,
"Burkhart, Jeff","Burkhart, Jeff",House of Representatives District 75,Won,Won,Republican,Clarksville,Yes,2022,
"Butler, Ed","Butler, Ed",House of Representatives District 41,Won,Won,Republican,Rickman,Yes,2022,
"Camper, Karen","Camper, Karen",House of Representatives District 87,Won,Won,Democrat,Memphis,Yes,2022,
"Capley, Kip","Capley, Kip",House of Representatives District 71,Won,Won,Republican,Summertown,Yes,2022,
"Carr, Bruce Dale","Carr, Dale",House of Representatives District 12,Won,Won,Republican,Sevierville,Yes,2022,
"Carringer, Michele","Carringer, Michele",House of Representatives District 16,Won,Won,Republican,Knoxville,Yes,2022,
"Cepicky, Scott","Cepicky, Scott",House of Representatives District 64,Won,Won,Republican,Culleoka,Yes,2022,
"Chism, Jesse","Chism, Jesse",House of Representatives District 85,Won,Won,Democrat,Memphis,Yes,2022,
"Clemmons, John Ray","Clemmons, John Ray",House of Representatives District 55,Won,Won,Democrat,Nashville,Yes,2022,
"Cochran, Mark","Cochran, Mark",House of Representatives District 23,Won,Won,Republican,Englewood,Yes,2022,
"Crawford, John","Crawford, John",House of Representatives District 1,Won,Won,Republican,Kingsport,Yes,2022,
"Crowe, Rusty","Crowe, Rusty",Senate District 3,Won,Won,Republican,Johnson City,Yes,2022,
"Darby, Tandy","Darby, Tandy",House of Representatives District 76,Won,Won,Republican,Greenfield,Yes,2022,
"Davis, Elaine","Davis, Elaine",House of Representatives District 18,Won,Won,Republican,Knoxville,Yes,2022,
"Dixie, Vincent","Dixie, Vincent",House of Representatives District 54,Won,Won,Democrat,Nashville,Yes,2022,
"Doggett, Clay","Doggett, Clay",House of Representatives District 70,Won,Won,Republican,Pulaski,Yes,2022,
"Eldridge, Rick","Eldridge, Rick",House of Representatives District 10,Won,Won,Republican,Morristown,Yes,2022,
"Faison, Jeremy","Faison, Jeremy",House of Representatives District 11,Won,Won,Republican,Newport,Yes,2022,
"Farmer, Andrew Ellis","Farmer, Andrew",House of Representatives District 17,Won,Won,Republican,Sevierville,Yes,2022,
"Freeman, Bob","Freeman, Bob",House of Representatives District 56,Won,Won,Democrat,Nashville,Yes,2022,
"Fritts, Monty","Fritts, Monty",House of Representatives District 32,Won,Won,Republican,Kingston,Yes,2022,
"Gant, Ron","Gant, Ron",House of Representatives District 94,Won,Won,Republican,Rossville,Yes,2022,
"Garrett, Johnny","Garrett, Johnny",House of Representatives District 45,Won,Won,Republican,Goodlettsville,Yes,2022,
"Gillespie, John","Gillespie, John",House of Representatives District 97,Won,Won,Republican,Memphis,Yes,2022,
"Glynn, Ronnie L.","Glynn, Ronnie",House of Representatives District 67,Won,Won,Democrat,Clarksville,Yes,2022,
